Full Name,Name AR,Class,Section,Gender,Guardian,Guardian Phone
"Idris Ibrahim","إدريس إبراهيم",Grade 1,A,female,"Idris Ibrahim",0924098086
"Idris Ibrahim","إدريس إبراهيم",Grade 1,A,male,"Fatima Ibrahim",0946090228
"Omar Al-Mansouri","عمر المنصوري",Grade 1,A,male,"Rania Al-Mansouri",0948599992
"Rania Gaddour","رانيا غدور",Grade 1,A,male,"Idris Gaddour",0911999101
"Ahmed Gaddour","أحمد غدور",Grade 1,A,male,"Rania Gaddour",0918783528
"Salma Ibrahim","سلمى إبراهيم",Grade 1,A,male,"Idris Ibrahim",0925935044
"Huda Al-Mansouri","هدى المنصوري",Grade 1,A,male,"Huda Al-Mansouri",0937824614
"Idris Al-Mansouri","إدريس المنصوري",Grade 1,A,female,"Salma Al-Mansouri",0929604776
"Youssef Al-Mansouri","يوسف المنصوري",Grade 1,A,male,"Rania Al-Mansouri",0917717594
"Fatima Elmahdi","فاطمة المهدي",Grade 1,A,female,"Fatima Elmahdi",0911009142
"Aisha Gaddour","عائشة غدور",Grade 1,A,male,"Huda Gaddour",0947667674
"Khaled Al-Mansouri","خالد المنصوري",Grade 1,A,male,"Youssef Al-Mansouri",0932462037
"Salma Al-Mansouri","سلمى المنصوري",Grade 1,B,female,"Fatima Al-Mansouri",0925133703
"Fatima Al-Mansouri","فاطمة المنصوري",Grade 1,B,male,"Huda Al-Mansouri",0943980944
"Idris Gaddour","إدريس غدور",Grade 1,B,female,"Idris Gaddour",0923197263
"Khaled Ibrahim","خالد إبراهيم",Grade 1,B,male,"Khaled Ibrahim",0944571293
"Ahmed Elmahdi","أحمد المهدي",Grade 1,B,female,"Ahmed Elmahdi",0924142496
"Khaled Al-Zawawi","خالد الزواوي",Grade 1,B,male,"Ahmed Al-Zawawi",0924577630
"Huda Elmahdi","هدى المهدي",Grade 1,B,male,"Rania Elmahdi",0935971504
"Khaled Al-Mansouri","خالد المنصوري",Grade 1,B,male,"Fatima Al-Mansouri",0925077080
"Ahmed Al-Zawawi","أحمد الزواوي",Grade 1,B,female,"Salma Al-Zawawi",0943134415
"Rania Ibrahim","رانيا إبراهيم",Grade 1,B,male,"Khaled Ibrahim",0923585961
"Youssef Gaddour","يوسف غدور",Grade 1,B,male,"Aisha Gaddour",0924298229
"Huda Al-Zawawi","هدى الزواوي",Grade 2,A,male,"Khaled Al-Zawawi",0912742140
"Fatima Al-Mansouri","فاطمة المنصوري",Grade 2,A,female,"Aisha Al-Mansouri",0945311432
"Khaled Al-Zawawi","خالد الزواوي",Grade 2,A,female,"Youssef Al-Zawawi",0922153871
"Omar Gaddour","عمر غدور",Grade 2,A,female,"Idris Gaddour",0915701301
"Aisha Gaddour","عائشة غدور",Grade 2,A,male,"Fatima Gaddour",0937902592
"Huda Gaddour","هدى غدور",Grade 2,A,male,"Ahmed Gaddour",0925730535
"Salma Al-Zawawi","سلمى الزواوي",Grade 2,A,male,"Fatima Al-Zawawi",0933322106
"Huda Elmahdi","هدى المهدي",Grade 2,A,male,"Rania Elmahdi",0911300214
"Huda Elmahdi","هدى المهدي",Grade 2,A,female,"Ahmed Elmahdi",0912255500
"Huda Al-Mansouri","هدى المنصوري",Grade 2,A,female,"Salma Al-Mansouri",0922215208
"Fatima Ibrahim","فاطمة إبراهيم",Grade 2,A,female,"Ahmed Ibrahim",0926731333
"Salma Al-Mansouri","سلمى المنصوري",Grade 2,A,female,"Fatima Al-Mansouri",0941507840
"Rania Al-Mansouri","رانيا المنصوري",Grade 2,B,female,"Khaled Al-Mansouri",0912212138
"Fatima Al-Mansouri","فاطمة المنصوري",Grade 2,B,male,"Youssef Al-Mansouri",0946538995
"Khaled Al-Zawawi","خالد الزواوي",Grade 2,B,female,"Huda Al-Zawawi",0942405632
"Idris Al-Zawawi","إدريس الزواوي",Grade 2,B,male,"Youssef Al-Zawawi",0919069116
"Ahmed Gaddour","أحمد غدور",Grade 2,B,male,"Huda Gaddour",0945292118
"Ahmed Elmahdi","أحمد المهدي",Grade 2,B,female,"Omar Elmahdi",0929697218
"Omar Elmahdi","عمر المهدي",Grade 2,B,female,"Huda Elmahdi",0926485488
"Khaled Elmahdi","خالد المهدي",Grade 2,B,male,"Khaled Elmahdi",0924593499
"Khaled Gaddour","خالد غدور",Grade 2,B,female,"Aisha Gaddour",0923257420
"Huda Elmahdi","هدى المهدي",Grade 2,B,male,"Fatima Elmahdi",0933837512
"Fatima Ibrahim","فاطمة إبراهيم",Grade 2,B,female,"Youssef Ibrahim",0927945512
"Khaled Al-Zawawi","خالد الزواوي",Grade 2,B,female,"Salma Al-Zawawi",0946374517
"Ahmed Elmahdi","أحمد المهدي",Grade 3,A,male,"Youssef Elmahdi",0936184668
"Rania Al-Mansouri","رانيا المنصوري",Grade 3,A,male,"Khaled Al-Mansouri",0944186303
"Ahmed Elmahdi","أحمد المهدي",Grade 3,A,male,"Omar Elmahdi",0912934494
"Huda Al-Mansouri","هدى المنصوري",Grade 3,A,female,"Fatima Al-Mansouri",0924344394
"Huda Elmahdi","هدى المهدي",Grade 3,A,male,"Ahmed Elmahdi",0949973269
